Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Critica_Profesional,Critica_Usuario,Tiene_Rating,Global_Sales_norm
Pro Evolution Soccer 2015,PS3,2014.0,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,,,7.8,34.0,E,No,Sí,Sí,0.548076923076923
Skylanders: Spyros Adventure,3DS,2011.0,Action,Activision,0.33,0.2,0.0,0.05,0.58,82.0,8.0,4.9,62.0,E10+,Sí,Sí,Sí,0.548076923076923
Championship Motocross featuring Ricky Carmichael,PS,1998.0,Racing,THQ,0.32,0.22,0.0,0.04,0.58,,,,,,No,No,No,0.548076923076923
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58,,,,,,No,No,No,0.548076923076923
Rune Factory 4,3DS,2012.0,Role-Playing,Xseed Games,0.33,0.0,0.21,0.04,0.58,78.0,33.0,8.2,124.0,E10+,Sí,Sí,Sí,0.548076923076923
Final Fantasy: The 4 Heroes of Light,DS,2009.0,Role-Playing,Square Enix,0.22,0.1,0.23,0.03,0.58,71.0,49.0,7.1,38.0,E10+,Sí,Sí,Sí,0.548076923076923
Rayman Legends,PS3,2013.0,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,23.0,8.7,312.0,E10+,Sí,Sí,Sí,0.548076923076923
Fire Emblem: Seisen no Keifu,SNES,1996.0,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58,,,,,,No,No,No,0.548076923076923
Tenchu 2: Birth of the Stealth Assassins,PS,2000.0,Action,Activision,0.32,0.22,0.0,0.04,0.58,77.0,14.0,8.7,32.0,M,Sí,Sí,Sí,0.548076923076923
Go Diego Go! Great Dinosaur Rescue,Wii,2008.0,Action,Take-Two Interactive,0.52,0.02,0.0,0.04,0.58,,,,,,No,No,No,0.548076923076923
Tony Hawks Pro Skater 4,GC,2002.0,Sports,Activision,0.45,0.12,0.0,0.02,0.58,91.0,19.0,8.5,22.0,T,Sí,Sí,Sí,0.548076923076923
Naruto: Uzumaki Chronicles 2,PS2,2006.0,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,52.0,22.0,6.9,17.0,T,Sí,Sí,Sí,0.548076923076923
NHL 06,PS2,2005.0,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,78.0,27.0,8.5,29.0,E10+,Sí,Sí,Sí,0.548076923076923
WWE 2K15,XOne,2014.0,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.58,56.0,25.0,5.7,63.0,T,Sí,Sí,Sí,0.548076923076923
Parasite Eve II,PS,1999.0,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58,79.0,14.0,9.0,79.0,M,Sí,Sí,Sí,0.548076923076923
NFL Blitz 2000,N64,1999.0,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58,,,,,,No,No,No,0.548076923076923
Skate it,Wii,2008.0,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,70.0,37.0,8.4,25.0,E,Sí,Sí,Sí,0.548076923076923
London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.44,0.0,0.07,0.58,,,,,,No,No,No,0.548076923076923
Madden NFL 2002,X,2001.0,Sports,Electronic Arts,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.1,8.0,E,Sí,Sí,Sí,0.548076923076923
Phineas and Ferb: Across the 2nd Dimension,Wii,2011.0,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.58,76.0,4.0,8.3,6.0,E10+,Sí,Sí,Sí,0.548076923076923
NCAA Football 10,PS2,2009.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,,,,,E,No,No,Sí,0.548076923076923
Theme Park,PS,1994.0,Simulation,Electronic Arts,0.24,0.16,0.13,0.04,0.57,,,,,,No,No,No,0.5384615384615384
Far Cry Instincts,X,2005.0,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,85.0,56.0,5.7,73.0,M,Sí,Sí,Sí,0.5384615384615384
Hasbro Family Game Night,PS2,2008.0,Puzzle,Electronic Arts,0.28,0.22,0.0,0.07,0.57,,,,,E,No,No,Sí,0.5384615384615384
Tony Hawks Pro Skater 4,GBA,2002.0,Sports,Activision,0.41,0.15,0.0,0.01,0.57,85.0,13.0,8.8,4.0,E,Sí,Sí,Sí,0.5384615384615384
ATV Offroad Fury: Blazin Trails,PSP,2005.0,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,63.0,32.0,7.8,16.0,E,Sí,Sí,Sí,0.5384615384615384
Tales of the Abyss,PS2,2005.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,78.0,22.0,8.4,109.0,T,Sí,Sí,Sí,0.5384615384615384
Xenoblade Chronicles,3DS,2015.0,Role-Playing,Nintendo,0.27,0.14,0.12,0.04,0.57,,,,,,No,No,No,0.5384615384615384
Payday 2,X360,2013.0,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,18.0,6.3,203.0,M,Sí,Sí,Sí,0.5384615384615384
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000.0,Strategy,Namco Bandai Games,0.0,0.0,0.54,0.04,0.57,,,,,,No,No,No,0.5384615384615384
Pro Evolution Soccer 2012,PSP,2011.0,Action,Konami Digital Entertainment,0.11,0.11,0.29,0.07,0.57,74.0,4.0,6.3,8.0,E,Sí,Sí,Sí,0.5384615384615384
Blacksite: Area 51,X360,2007.0,Shooter,Midway Games,0.29,0.22,0.0,0.06,0.57,62.0,48.0,6.1,65.0,T,Sí,Sí,Sí,0.5384615384615384
Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,60.0,25.0,7.0,12.0,E,Sí,Sí,Sí,0.5384615384615384
Petz Dogz 2,Wii,2007.0,Simulation,Ubisoft,0.52,0.01,0.0,0.04,0.57,,,,,E,No,No,Sí,0.5384615384615384
Beyond The Beyond,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57,,,,,,No,No,No,0.5384615384615384
Ben 10: Alien Force,PS2,2008.0,Action,Koch Media,0.22,0.02,0.0,0.33,0.57,,,6.0,7.0,E10+,No,Sí,Sí,0.5384615384615384
The Sims 3: World Adventures,PC,2009.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57,81.0,31.0,8.0,72.0,T,Sí,Sí,Sí,0.5384615384615384
Madden NFL 06,GC,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,86.0,21.0,8.5,11.0,E,Sí,Sí,Sí,0.5384615384615384
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007.0,Action,Capcom,0.24,0.0,0.31,0.02,0.57,,,,,,No,No,No,0.5384615384615384
Tales of Zestiria,PS3,2015.0,Role-Playing,Namco Bandai Games,0.06,0.07,0.42,0.02,0.57,,,8.0,47.0,T,No,Sí,Sí,0.5384615384615384
BlazBlue: Calamity Trigger,PS3,2009.0,Fighting,PQube,0.36,0.1,0.06,0.06,0.57,87.0,50.0,8.4,112.0,T,Sí,Sí,Sí,0.5384615384615384
Final Fantasy Explorers,3DS,2014.0,Role-Playing,Square Enix,0.17,0.09,0.28,0.03,0.57,69.0,57.0,6.9,89.0,E10+,Sí,Sí,Sí,0.5384615384615384
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007.0,Action,Activision,0.5,0.03,0.0,0.05,0.57,,,,,,No,No,No,0.5384615384615384
Iron Man,X360,2008.0,Action,Sega,0.27,0.24,0.0,0.06,0.57,45.0,43.0,5.9,53.0,T,Sí,Sí,Sí,0.5384615384615384
Naruto: Ultimate Ninja 2,PS2,2004.0,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,73.0,27.0,7.9,28.0,T,Sí,Sí,Sí,0.5384615384615384
Mario Party: Star Rush,3DS,2016.0,Misc,Nintendo,0.17,0.25,0.11,0.04,0.57,68.0,38.0,6.6,18.0,E,Sí,Sí,Sí,0.5384615384615384
NHL 10,PS3,2009.0,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,88.0,35.0,7.9,40.0,E10+,Sí,Sí,Sí,0.5384615384615384
The Mysterious Murasame Castle,NES,1986.0,Action,Nintendo,0.0,0.0,0.57,0.0,0.57,,,,,,No,No,No,0.5384615384615384
NBA Hangtime,N64,1997.0,Sports,GT Interactive,0.48,0.08,0.0,0.0,0.57,,,,,,No,No,No,0.5384615384615384
Zumba Fitness,PS3,2010.0,Sports,505 Games,0.28,0.21,0.0,0.08,0.57,,,3.8,4.0,E,No,Sí,Sí,0.5384615384615384
Rock Band 3,PS3,2010.0,Misc,MTV Games,0.43,0.09,0.0,0.05,0.57,91.0,34.0,8.0,95.0,T,Sí,Sí,Sí,0.5384615384615384
Blood Wake,X,2001.0,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,71.0,30.0,7.5,13.0,T,Sí,Sí,Sí,0.5384615384615384
Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,57.0,22.0,9.1,26.0,T,Sí,Sí,Sí,0.5384615384615384
Titanfall,PC,2014.0,Shooter,Electronic Arts,0.22,0.3,0.0,0.05,0.57,86.0,29.0,6.2,1733.0,M,Sí,Sí,Sí,0.5384615384615384
Rapala: We Fish,Wii,2009.0,Sports,Activision,0.52,0.01,0.0,0.04,0.57,,,,,E,No,No,Sí,0.5384615384615384
Harvest Moon: Sunshine Islands,DS,2008.0,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.57,,,,,,No,No,No,0.5384615384615384
Jampack Summer 2002,PS2,2002.0,Misc,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.57,,,,,,No,No,No,0.5384615384615384
LEGO Dimensions,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,0.31,0.21,0.0,0.05,0.57,62.0,5.0,6.5,29.0,E10+,Sí,Sí,Sí,0.5384615384615384
FIFA World Cup Germany 2006,PS2,2006.0,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,77.0,28.0,8.1,33.0,E,Sí,Sí,Sí,0.5384615384615384
Wreckless: ThE YaKuza MisSiOns,X,2002.0,Racing,Activision,0.42,0.11,0.02,0.02,0.57,74.0,36.0,5.2,13.0,T,Sí,Sí,Sí,0.5384615384615384
Super Bomberman,SNES,1992.0,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57,,,,,,No,No,No,0.5384615384615384
Defiance,X360,2013.0,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,27.0,7.2,249.0,M,Sí,Sí,Sí,0.5384615384615384
Disgaea 4: A Promise Unforgotten,PS3,2011.0,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,80.0,39.0,7.8,127.0,T,Sí,Sí,Sí,0.5384615384615384
Doom 3 BFG Edition,PS3,2012.0,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,108.0,M,Sí,Sí,Sí,0.5384615384615384
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008.0,Action,THQ,0.52,0.0,0.0,0.04,0.57,,,6.0,5.0,E,No,Sí,Sí,0.5384615384615384
SpongeBob SquarePants: Battle for Bikini Bottom,X,2003.0,Platform,THQ,0.45,0.1,0.0,0.02,0.57,70.0,8.0,8.9,17.0,E,Sí,Sí,Sí,0.5384615384615384
SD Gundam G Generation Neo,PS2,2002.0,Strategy,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,,,,,,No,No,No,0.5384615384615384
The Conduit,Wii,2009.0,Shooter,Sega,0.28,0.23,0.0,0.06,0.57,69.0,79.0,8.2,258.0,T,Sí,Sí,Sí,0.5384615384615384
Spider-Man 3,X360,2007.0,Platform,Activision,0.49,0.04,0.0,0.04,0.57,63.0,61.0,7.0,54.0,T,Sí,Sí,Sí,0.5384615384615384
Trivial Pursuit,Wii,2009.0,Misc,Electronic Arts,0.2,0.3,0.0,0.07,0.57,67.0,11.0,,,E,Sí,No,Sí,0.5384615384615384
Up,Wii,2009.0,Action,THQ,0.22,0.28,0.0,0.06,0.57,62.0,6.0,8.0,4.0,E10+,Sí,Sí,Sí,0.5384615384615384
Disney Universe,X360,2011.0,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,66.0,31.0,5.3,13.0,E10+,Sí,Sí,Sí,0.5384615384615384
Top Spin 3,PS3,2008.0,Action,Take-Two Interactive,0.08,0.36,0.0,0.12,0.57,75.0,36.0,7.5,20.0,E,Sí,Sí,Sí,0.5384615384615384
RalliSport Challenge,X,2002.0,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57,87.0,32.0,8.3,19.0,E,Sí,Sí,Sí,0.5384615384615384
Resident Evil Outbreak File #2,PS2,2004.0,Action,Capcom,0.19,0.15,0.17,0.05,0.57,58.0,35.0,7.7,71.0,M,Sí,Sí,Sí,0.5384615384615384
Bob the Builder: Can We Fix It?,PS,2000.0,Action,THQ,0.31,0.21,0.0,0.04,0.57,,,,,,No,No,No,0.5384615384615384
XIII,PS2,2003.0,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,73.0,37.0,8.6,35.0,M,Sí,Sí,Sí,0.5384615384615384
Tomb Raider: Anniversary,PSP,2007.0,Action,Eidos Interactive,0.21,0.22,0.0,0.13,0.57,78.0,32.0,8.2,28.0,T,Sí,Sí,Sí,0.5384615384615384
Bratz 4 Real,DS,2007.0,Adventure,THQ,0.29,0.22,0.0,0.06,0.57,,,,,E,No,No,Sí,0.5384615384615384
FIFA 15,Wii,2014.0,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.57,,,4.3,12.0,E,No,Sí,Sí,0.5384615384615384
Yokai Sangokushi,3DS,2016.0,Action,Level 5,0.0,0.0,0.57,0.0,0.57,,,,,,No,No,No,0.5384615384615384
3D Dot Game Heroes,PS3,2009.0,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.1,97.0,E10+,Sí,Sí,Sí,0.5384615384615384
Breath of Fire IV,PS,2000.0,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,83.0,10.0,8.9,47.0,T,Sí,Sí,Sí,0.5288461538461539
True Crime: Streets of LA,GC,2003.0,Action,Activision,0.44,0.11,0.0,0.02,0.56,77.0,29.0,7.3,29.0,M,Sí,Sí,Sí,0.5288461538461539
Odin Sphere,PS2,2007.0,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56,83.0,49.0,8.6,60.0,T,Sí,Sí,Sí,0.5288461538461539
Petz Wild Animals: Tigerz,DS,2008.0,Simulation,Ubisoft,0.52,0.0,0.0,0.04,0.56,,,,,E,No,No,Sí,0.5288461538461539
The Incredible Hulk,GBA,2003.0,Action,Universal Interactive,0.4,0.15,0.0,0.01,0.56,,,,,,No,No,No,0.5288461538461539
Ms. Pac-Man Maze Madness,GBA,2004.0,Puzzle,Zoo Digital Publishing,0.4,0.15,0.0,0.01,0.56,,,,,E,No,No,Sí,0.5288461538461539
The Legend of Spyro: Dawn of the Dragon,Wii,2008.0,Platform,Vivendi Games,0.34,0.17,0.0,0.05,0.56,64.0,11.0,6.5,19.0,E10+,Sí,Sí,Sí,0.5288461538461539
Arena Football,PS2,2006.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,66.0,18.0,8.6,14.0,E10+,Sí,Sí,Sí,0.5288461538461539
The Lord of the Rings: The Return of the King,GBA,2003.0,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56,77.0,13.0,8.2,11.0,T,Sí,Sí,Sí,0.5288461538461539
NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56,78.0,18.0,7.6,8.0,E,Sí,Sí,Sí,0.5288461538461539
Classic NES Series: Dr. Mario,GBA,2004.0,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56,66.0,10.0,7.5,6.0,E,Sí,Sí,Sí,0.5288461538461539
The Sims: Bustin Out,X,2003.0,Simulation,Electronic Arts,0.4,0.14,0.0,0.02,0.56,81.0,26.0,8.9,12.0,T,Sí,Sí,Sí,0.5288461538461539
NCAA March Madness 07,PS2,2007.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,63.0,9.0,8.6,7.0,E,Sí,Sí,Sí,0.5288461538461539
"Warhammer 40,000: Space Marine",X360,2011.0,Shooter,THQ,0.25,0.26,0.0,0.06,0.56,76.0,57.0,7.8,233.0,M,Sí,Sí,Sí,0.5288461538461539
"Monsters, Inc. Scream Team",PS,2001.0,Platform,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56,65.0,10.0,6.9,8.0,E,Sí,Sí,Sí,0.5288461538461539
Middle-Earth: Shadow of Mordor,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,,,3.4,100.0,M,No,Sí,Sí,0.5288461538461539
Harry Potter Collection,PS2,2006.0,Misc,Electronic Arts,0.28,0.21,0.0,0.07,0.56,,,,,E10+,No,No,Sí,0.5288461538461539
Top Spin 3,X360,2008.0,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56,78.0,47.0,7.6,36.0,E,Sí,Sí,Sí,0.5288461538461539
Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004.0,Misc,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,,,,,,No,No,No,0.5288461538461539
Cabelas Big Game Hunter 2005 Adventures,PS2,2004.0,Sports,Activision,0.28,0.21,0.0,0.07,0.56,55.0,4.0,8.4,16.0,T,Sí,Sí,Sí,0.5288461538461539
LEGO Rock Band,X360,2009.0,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0.0,0.05,0.56,71.0,50.0,7.2,31.0,E10+,Sí,Sí,Sí,0.5288461538461539
Knockout Kings 2001,PS2,2001.0,Fighting,Electronic Arts,0.28,0.21,0.0,0.07,0.56,81.0,18.0,,,T,Sí,No,Sí,0.5288461538461539
Army Men: Sarges Heroes,PS,1999.0,Action,3DO,0.31,0.21,0.0,0.04,0.56,,,,,,No,No,No,0.5288461538461539
Jillian Michaels Fitness Ultimatum 2010,Wii,2009.0,Sports,Majesco Entertainment,0.51,0.01,0.0,0.04,0.56,,,,,E,No,No,Sí,0.5288461538461539
Petz Dogz 2,PS2,2007.0,Simulation,Ubisoft,0.28,0.21,0.0,0.07,0.56,,,,,E,No,No,Sí,0.5288461538461539
Battlefield 2: Modern Combat,X,2005.0,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56,80.0,49.0,8.2,29.0,T,Sí,Sí,Sí,0.5288461538461539
Tom Clancys HAWX,PS3,2009.0,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,74.0,35.0,8.2,40.0,T,Sí,Sí,Sí,0.5288461538461539
All-Star Baseball 2002,PS2,2001.0,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,77.0,16.0,7.6,8.0,E,Sí,Sí,Sí,0.5288461538461539
TMNT,X360,2007.0,Action,Ubisoft,0.48,0.03,0.0,0.05,0.56,58.0,31.0,6.3,32.0,E10+,Sí,Sí,Sí,0.5288461538461539
Backyard NFL Football,GBA,2002.0,Sports,Infogrames,0.4,0.15,0.0,0.01,0.56,,,,,,No,No,No,0.5288461538461539
Need for Speed: Most Wanted,GC,2005.0,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56,80.0,18.0,9.1,23.0,T,Sí,Sí,Sí,0.5288461538461539
NASCAR Rumble,PS,2000.0,Racing,Electronic Arts,0.31,0.21,0.0,0.04,0.56,,,,,,No,No,No,0.5288461538461539
Bolt,Wii,2008.0,Adventure,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.56,50.0,4.0,5.8,5.0,E10+,Sí,Sí,Sí,0.5288461538461539
WWE Raw 2,X,2003.0,Fighting,THQ,0.43,0.11,0.0,0.02,0.56,68.0,26.0,7.3,25.0,T,Sí,Sí,Sí,0.5288461538461539
Harvest Moon: The Tale of Two Towns,DS,2010.0,Simulation,Natsume,0.26,0.05,0.22,0.03,0.56,68.0,6.0,7.5,13.0,E,Sí,Sí,Sí,0.5288461538461539
Resident Evil 2,N64,1999.0,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56,,,,,,No,No,No,0.5288461538461539
Mega Man X2,SNES,1993.0,Platform,Laguna,0.09,0.02,0.45,0.0,0.56,,,,,,No,No,No,0.5288461538461539
Manhunt 2,PS2,2007.0,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56,67.0,22.0,7.8,53.0,M,Sí,Sí,Sí,0.5288461538461539
Fullmetal Alchemist and the Broken Angel,PS2,2003.0,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,56.0,35.0,8.1,38.0,T,Sí,Sí,Sí,0.5288461538461539
Tony Hawks Project 8,PSP,2006.0,Sports,Activision,0.41,0.07,0.0,0.07,0.56,68.0,11.0,7.6,14.0,T,Sí,Sí,Sí,0.5288461538461539
Hamtaro: Ham-Hams Unite!,G,2001.0,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56,,,,,,No,No,No,0.5288461538461539
Batman Begins,PS2,2005.0,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,64.0,41.0,7.3,70.0,T,Sí,Sí,Sí,0.5288461538461539
Dogz,DS,2006.0,Simulation,Ubisoft,0.5,0.01,0.0,0.04,0.56,,,7.8,9.0,E,No,Sí,Sí,0.5288461538461539
Assassins Creed: Unity,PC,2014.0,Action,Ubisoft,0.18,0.33,0.0,0.04,0.56,70.0,10.0,3.0,1474.0,M,Sí,Sí,Sí,0.5288461538461539
Tony Hawks Proving Ground,X360,2007.0,Sports,Activision,0.49,0.02,0.0,0.04,0.56,72.0,59.0,5.4,44.0,T,Sí,Sí,Sí,0.5288461538461539
Dr. Seuss The Cat in the Hat,PS2,2003.0,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56,56.0,6.0,6.5,8.0,E,Sí,Sí,Sí,0.5288461538461539
Barbie Groovy Games,GBA,2002.0,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56,47.0,5.0,7.0,4.0,E,Sí,Sí,Sí,0.5288461538461539
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.14,0.24,0.1,0.07,0.56,75.0,30.0,7.7,287.0,M,Sí,Sí,Sí,0.5288461538461539
Wolfenstein,X360,2009.0,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,72.0,66.0,7.5,128.0,M,Sí,Sí,Sí,0.5288461538461539
Yu-Gi-Oh! Reshef of Destruction,GBA,2003.0,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,,,,,,No,No,No,0.5288461538461539
Blinx: The Time Sweeper,X,2002.0,Platform,Microsoft Game Studios,0.39,0.15,0.0,0.02,0.56,71.0,36.0,8.0,41.0,E,Sí,Sí,Sí,0.5288461538461539
ESPN NFL Football,PS2,2003.0,Sports,Sega,0.27,0.21,0.0,0.07,0.56,91.0,20.0,8.5,25.0,E,Sí,Sí,Sí,0.5288461538461539
Tetris Party Deluxe,Wii,2010.0,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,72.0,19.0,5.8,4.0,E,Sí,Sí,Sí,0.5288461538461539
Fatal Fury Special,SNES,1994.0,Fighting,Takara,0.0,0.0,0.56,0.0,0.56,,,,,,No,No,No,0.5288461538461539
Major League Baseball 2K5,X,2005.0,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56,81.0,25.0,8.2,17.0,E,Sí,Sí,Sí,0.5288461538461539
DS Bimoji Training,DS,2008.0,Misc,Nintendo,0.0,0.0,0.56,0.0,0.56,,,,,,No,No,No,0.5288461538461539
Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,83.0,73.0,8.5,635.0,T,Sí,Sí,Sí,0.5288461538461539
Archer Macleans Mercury,PSP,2005.0,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56,75.0,39.0,6.6,21.0,E,Sí,Sí,Sí,0.5288461538461539
Soldier of Fortune: Gold Edition,PS2,2001.0,Shooter,Codemasters,0.27,0.21,0.0,0.07,0.56,59.0,14.0,6.8,17.0,M,Sí,Sí,Sí,0.5288461538461539
Final Fantasy IV: The Complete Collection,PSP,2011.0,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56,77.0,41.0,7.5,80.0,E10+,Sí,Sí,Sí,0.5288461538461539
Pro Evolution Soccer 2017,PS4,2016.0,Sports,Konami Digital Entertainment,0.04,0.34,0.12,0.06,0.56,85.0,62.0,7.5,498.0,E,Sí,Sí,Sí,0.5288461538461539
Frontlines: Fuel of War,X360,2008.0,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,75.0,55.0,7.8,77.0,T,Sí,Sí,Sí,0.5288461538461539
MX 2002 Featuring Ricky Carmichael,PS2,2001.0,Racing,THQ,0.27,0.21,0.0,0.07,0.56,76.0,17.0,8.3,9.0,E,Sí,Sí,Sí,0.5288461538461539
NCAA Football 07,X,2006.0,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56,88.0,20.0,6.9,10.0,E,Sí,Sí,Sí,0.5288461538461539
No More Heroes,Wii,2007.0,Action,Rising Star Games,0.29,0.17,0.04,0.05,0.55,83.0,64.0,8.4,259.0,M,Sí,Sí,Sí,0.5192307692307693
Lunar: Silver Star Story Complete,PS,1998.0,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,78.0,15.0,9.1,36.0,T,Sí,Sí,Sí,0.5192307692307693
Hot Shots Golf: World Invitational,PSV,2011.0,Sports,Sony Computer Entertainment,0.15,0.11,0.25,0.05,0.55,76.0,55.0,8.1,77.0,E,Sí,Sí,Sí,0.5192307692307693
God of War: Origins Collection,PS3,2011.0,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55,84.0,58.0,8.4,208.0,M,Sí,Sí,Sí,0.5192307692307693
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008.0,Platform,Take-Two Interactive,0.49,0.02,0.0,0.04,0.55,47.0,4.0,7.0,5.0,E,Sí,Sí,Sí,0.5192307692307693
NBA Showtime: NBA on NBC,PS,1999.0,Sports,Midway Games,0.31,0.21,0.0,0.04,0.55,,,,,,No,No,No,0.5192307692307693
StarCraft II: Legacy of the Void,PC,2015.0,Strategy,Activision,0.22,0.29,0.0,0.04,0.55,88.0,62.0,8.3,835.0,T,Sí,Sí,Sí,0.5192307692307693
Soul Reaver 2,PS2,2001.0,Action,Eidos Interactive,0.27,0.21,0.0,0.07,0.55,80.0,22.0,8.5,35.0,M,Sí,Sí,Sí,0.5192307692307693
Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,94.0,53.0,9.3,442.0,M,Sí,Sí,Sí,0.5192307692307693
Enslaved: Odyssey to the West,PS3,2010.0,Action,Namco Bandai Games,0.24,0.22,0.01,0.09,0.55,80.0,53.0,7.5,313.0,T,Sí,Sí,Sí,0.5192307692307693
The Godfather (old US sales),X,2006.0,Action,Electronic Arts,0.42,0.11,0.0,0.02,0.55,,,,,,No,No,No,0.5192307692307693
Daytona USA,SAT,1994.0,Racing,Sega,0.0,0.0,0.55,0.0,0.55,,,,,,No,No,No,0.5192307692307693
WWF Raw,X,2002.0,Fighting,THQ,0.4,0.13,0.0,0.02,0.55,68.0,33.0,6.6,15.0,T,Sí,Sí,Sí,0.5192307692307693
